filepath,image_id,area,perimeter,equivalent_diameter,extent,mean_intensity,solidity,convex_area,axis_major_length,axis_minor_length,eccentricity,class_label
liberica_bean_datasets/Katy\Katy_Back_0001.png,Katy_Back_0001.png,4752.0,260.35028842544403,77.78453777314289,0.7595907928388747,255.0,0.9852788720713249,4823.0,90.05727296669487,67.31855205584368,0.6642525551380993,Katy
liberica_bean_datasets/Katy\Katy_Back_0002.png,Katy_Back_0002.png,6827.0,315.90663761154804,93.23307552530355,0.76381740881629,255.0,0.9859907567879839,6924.0,114.56279631364002,75.93401957650661,0.7487825806673571,Katy
liberica_bean_datasets/Katy\Katy_Back_0003.png,Katy_Back_0003.png,3793.0,230.65180361560903,69.49386730626289,0.7856255178127589,254.93277089375164,0.9841722885313959,3854.0,78.7568904028647,61.45936590686787,0.6253204051174928,Katy
liberica_bean_datasets/Katy\Katy_Back_0004.png,Katy_Back_0004.png,7329.0,346.14927829866735,96.60006533830092,0.7521551724137931,254.9652067130577,0.9550430023455825,7674.0,110.70392029720612,86.50107044549308,0.6240641050061316,Katy
liberica_bean_datasets/Katy\Katy_Back_0005.png,Katy_Back_0005.png,6490.0,311.66399692442883,90.90283078832697,0.7830598455598455,254.96070878274267,0.9824402058734484,6606.0,112.17822023592458,73.77107664795275,0.75334642101178,Katy
liberica_bean_datasets/Katy\Katy_Back_0006.png,Katy_Back_0006.png,4814.0,263.7645019878171,78.29032614796718,0.7450859000154775,255.0,0.9828501429154757,4898.0,92.80149095267724,66.08546463613106,0.7020614059647756,Katy
liberica_bean_datasets/Katy\Katy_Back_0007.png,Katy_Back_0007.png,5269.0,278.45079348883235,81.90664906593098,0.7904290429042904,255.0,0.98559670781893,5346.0,101.61620302660413,66.10142600950515,0.7595055297323099,Katy
liberica_bean_datasets/Katy\Katy_Back_0008.png,Katy_Back_0008.png,6262.0,296.8355697996826,89.29180269840893,0.7808953734879661,255.0,0.9864524259609325,6348.0,99.7209407367198,80.06368366504178,0.5961442581517626,Katy
liberica_bean_datasets/Katy\Katy_Back_0009.png,Katy_Back_0009.png,8043.0,346.49242404917493,101.1961741287926,0.8143160878809355,255.0,0.9843348427365072,8171.0,120.88383435000156,85.0778562179085,0.7103996976742672,Katy
liberica_bean_datasets/Katy\Katy_Back_0010.png,Katy_Back_0010.png,4920.0,276.2081528017131,79.14757456863097,0.7732201791607732,255.0,0.9818399521053682,5011.0,103.51985491346773,60.673890347601564,0.8102324114291306,Katy
liberica_bean_datasets/Katy\Katy_Back_0011.png,Katy_Back_0011.png,5022.0,265.7645019878171,79.96379801922859,0.7563253012048192,255.0,0.9845128406194864,5101.0,88.85011983737128,72.0461677203605,0.5852220909880533,Katy
liberica_bean_datasets/Katy\Katy_Back_0012.png,Katy_Back_0012.png,4638.0,262.45079348883235,76.84585225294651,0.7556207233626588,255.0,0.9817950889077053,4724.0,93.46045620445128,63.387708858038366,0.7348494566243293,Katy
liberica_bean_datasets/Katy\Katy_Back_0013.png,Katy_Back_0013.png,6158.0,301.4213562373095,88.54721405261225,0.7705205205205206,255.0,0.9857531615175285,6247.0,109.08118986444032,71.95193770580678,0.7516008482859765,Katy
liberica_bean_datasets/Katy\Katy_Back_0014.png,Katy_Back_0014.png,5884.0,295.6223663640862,86.55484666511575,0.8005442176870748,255.0,0.9827960581259395,5987.0,106.182045418804,70.76342550216962,0.7455631866543322,Katy
liberica_bean_datasets/Katy\Katy_Back_0015.png,Katy_Back_0015.png,4578.0,264.2081528017131,76.3471717603054,0.7707070707070707,255.0,0.9826142949130715,4659.0,98.1164361120411,59.57555183068417,0.7945548566468641,Katy
liberica_bean_datasets/Katy\Katy_Back_0016.png,Katy_Back_0016.png,5572.0,281.1787155501902,84.2287999633399,0.7762607968793536,255.0,0.9863692688971499,5649.0,97.92405835285238,72.48882902288511,0.6723255909927943,Katy
liberica_bean_datasets/Katy\Katy_Back_0017.png,Katy_Back_0017.png,4191.0,244.20815280171308,73.04893518720904,0.774390243902439,255.0,0.9847274436090225,4256.0,83.4013511438688,64.01331868397614,0.6410090109429245,Katy
liberica_bean_datasets/Katy\Katy_Back_0018.png,Katy_Back_0018.png,4040.0,246.65180361560903,71.72090183991035,0.792778649921507,255.0,0.9841656516443362,4105.0,91.7720686042376,56.17730149567921,0.7907498478257107,Katy
liberica_bean_datasets/Katy\Katy_Back_0019.png,Katy_Back_0019.png,4365.0,251.9655121145938,74.54992027339121,0.7750355113636364,255.0,0.9822232223222322,4444.0,88.77801659469893,62.68256790053161,0.7081524473795288,Katy
liberica_bean_datasets/Katy\Katy_Back_0020.png,Katy_Back_0020.png,4750.0,266.8944443027283,77.76816725043753,0.8215150466966448,255.0,0.9862956810631229,4816.0,100.1260827446618,60.47951222224987,0.7969588962839532,Katy
liberica_bean_datasets/Katy\Katy_Back_0021.png,Katy_Back_0021.png,4901.0,272.79393923934,78.99460113670447,0.7779365079365079,255.0,0.9819675415748347,4991.0,101.7921771246763,61.372412383530246,0.7978025937705705,Katy
